match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Gender,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
20220405-W-Bogota-R32-Suzan_Lamens-Astra_Sharma,Suzan Lamens,Astra Sharma,R,R,W,20220405,Bogota,R32,,Cancha 3,Clay,F. Baron Santly,3,1,Zindaras
20220404-W-Charleston-R64-Linda_Fruhvirtova-Ana_Konjuh,Linda Fruhvirtova,Ana Konjuh,R,R,W,20220404,Charleston,R64,,,Clay,Katarzyna Radwan-Cho,3,1,Elephant
20220404-W-Charleston-R64-Anna_Bondar-Arianne_Hartono,Anna Bondar,Arianne Hartono,R,R,W,20220404,Charleston,R64,,,Clay,,3,1,andy
20220402-W-Miami-F-Naomi_Osaka-Iga_Swiatek,Naomi Osaka,Iga Swiatek,R,R,W,20220402,Miami,F,13:10,Stadium,Hard,Marija Cicak,3,1,Zindaras
20220331-W-Miami-SF-Jessica_Pegula-Iga_Swiatek,Jessica Pegula,Iga Swiatek,R,R,W,20220331,Miami,SF,,,Hard,Juan Zhang,3,1,Elephant
20220330-W-Miami-QF-Iga_Swiatek-Petra_Kvitova,Iga Swiatek,Petra Kvitova,R,L,W,20220330,Miami,QF,,,Hard,Marija Cicak,3,1,Elephant
20220328-W-Miami-R16-Lucia_Bronzetti-Daria_Gavrilova,Lucia Bronzetti,Daria Gavrilova,R,R,W,20220328,Miami,R16,,Butch Buchholtz,Hard,Pablo Rodriguez,3,1,Zindaras
20220328-W-Miami-R16-Linda_Fruhvirtova-Paula_Badosa,Linda Fruhvirtova,Paula Badosa,R,R,W,20220328,Miami,R16,21:10,Stadium,Hard,Marija Cicak,3,1,Zindaras
20220328-W-Miami-R16-Cori_Gauff-Iga_Swiatek,Cori Gauff,Iga Swiatek,R,R,W,20220328,Miami,R16,,,Hard,Juan Zhang,3,1,Elephant
20220327-W-Miami-R32-Linda_Fruhvirtova-Victoria_Azarenka,Linda Fruhvirtova,Victoria Azarenka,R,R,W,20220327,Miami,R32,13:35,,Hard,Cecilia Alberti,3,1,Zindaras
20220327-W-Miami-R32-Iga_Swiatek-Madison_Brengle,Iga Swiatek,Madison Brengle,R,R,W,20220327,Miami,R32,,,Hard,Miriam Bley,3,1,Elephant
20220325-W-Miami-R64-Linda_Fruhvirtova-Elise_Mertens,Linda Fruhvirtova,Elise Mertens,R,R,W,20220325,Miami,R64,,,Hard,,3,1,Elephant
20220325-W-Miami-R64-Iga_Swiatek-Viktorija_Golubic,Iga Swiatek,Viktorija Golubic,R,R,W,20220325,Miami,R64,,,Hard,Marija Cicak,3,1,Elephant
20220324-W-Miami-R64-Emma_Raducanu-Katerina_Siniakova,Emma Raducanu,Katerina Siniakova,R,R,W,20220324,Miami,R64,15:05,Stadium,Hard,Marija Cicak,3,1,Zindaras
20220323-W-Miami-R128-Danka_Kovinic-Linda_Fruhvirtova,Danka Kovinic,Linda Fruhvirtova,R,R,W,20220323,Miami,R128,,,Hard,,3,1,Elephant
20220320-W-Indian_Wells-F-Iga_Swiatek-Maria_Sakkari,Iga Swiatek,Maria Sakkari,R,R,W,20220320,Indian Wells,F,13:10,Stadium 1,Hard,Juan Zhang,3,1,Zindaras
20220318-W-Indian_Wells-SF-Maria_Sakkari-Paula_Badosa,Maria Sakkari,Paula Badosa,R,R,W,20220318,Indian Wells,SF,20:15,Stadium 1,Hard,Kader Nouni,3,1,Zindaras
20220316-W-Indian_Wells-QF-Iga_Swiatek-Madison_Keys,Iga Swiatek,Madison Keys,R,R,W,20220316,Indian Wells,QF,,,Hard,Paula Vieira Souza,3,1,Elephant
20220315-W-Indian_Wells-R16-Iga_Swiatek-Angelique_Kerber,Iga Swiatek,Angelique Kerber,R,L,W,20220315,Indian Wells,R16,,,Hard,Thomas Sweeney,3,1,Elephant
20220314-W-Indian_Wells-R32-Jasmine_Paolini-Viktorija_Golubic,Jasmine Paolini,Viktorija Golubic,R,R,W,20220314,Indian Wells,R32,14:25,Stadium 3,Hard,Thomas Sweeney,3,1,Zindaras
20220313-W-Indian_Wells-R64-Kaja_Juvan-Sara_Sorribes_Tormo,Kaja Juvan,Sara Sorribes Tormo,R,R,W,20220313,Indian Wells,R64,,,Hard,Paula Vieira Souza,3,1,Zindaras
20220313-W-Indian_Wells-R32-Iga_Swiatek-Clara_Tauson,Iga Swiatek,Clara Tauson,R,R,W,20220313,Indian Wells,R32,,,Hard,Kader Nouni,3,1,Elephant
20220312-W-Indian_Wells-R64-Tereza_Martincova-Paula_Badosa,Tereza Martincova,Paula Badosa,R,R,W,20220312,Indian Wells,R64,15:40,Stadium 1,Hard,Marija Cicak,3,1,Zindaras
20220312-W-Indian_Wells-R64-Garbine_Muguruza-Alison_Riske,Garbine Muguruza,Alison Riske,R,R,W,20220312,Indian Wells,R64,15:20,Stadium 1,Hard,Paula Vieira Souza,3,1,Zindaras
20220312-W-Indian_Wells-R64-Daria_Gavrilova-Ons_Jabeur,Daria Gavrilova,Ons Jabeur,R,R,W,20220312,Indian Wells,R64,,Stadium 9,Hard,Pablo Rodriguez,3,1,Zindaras
20220311-W-Indian_Wells-R64-Iga_Swiatek-Anhelina_Kalinina,Iga Swiatek,Anhelina Kalinina,R,R,W,20220311,Indian Wells,R64,,,Hard,,3,1,Elephant
20220311-W-Indian_Wells-R64-Beatriz_Haddad_Maia-Clara_Tauson,Beatriz Haddad Maia,Clara Tauson,L,R,W,20220311,Indian Wells,R64,,,Hard,Marija Cicak,,1,Elephant
20220311-W-Indian_Wells-R64-Angelique_Kerber-Qinwen_Zheng,Angelique Kerber,Qinwen Zheng,L,R,W,20220311,Indian Wells,R64,,Stadium 4,Hard,Joshua Brace,3,1,Zindaras
