match_id,row,pts,pts_won,first_in,aces,svc_winners,rally_winners,rally_forced,unforced,dfs
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,Deuce1,6,5,4,1,4,0,0,1,0
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,Deuce2,16,12,11,0,3,2,6,1,1
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,STotal1,32,25,22,4,14,3,1,3,0
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,STotal2,52,35,33,4,7,6,12,8,1
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,BP1,14,10,8,2,1,3,1,1,0
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,BP2,13,10,12,0,2,1,1,1,0
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,GP1,37,23,18,1,5,4,2,4,0
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,GP2,41,24,21,3,1,8,2,9,1
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Deuce1,16,11,11,2,1,2,1,2,1
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Deuce2,29,19,18,2,0,6,1,2,0
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,STotal1,67,44,37,5,7,9,4,7,1
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,STotal2,83,53,51,5,3,15,4,12,1
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,BP1,7,4,5,1,1,1,0,0,1
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,BP2,8,2,3,0,1,0,0,2,1
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,GP1,21,17,14,9,5,2,0,3,1
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,GP2,19,13,10,5,5,2,0,3,0
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,Deuce1,8,8,5,4,0,2,0,0,0
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,Deuce2,9,6,5,0,4,0,1,2,1
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,STotal1,36,29,24,14,6,5,0,3,2
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,STotal2,36,21,18,5,10,2,1,7,2
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,BP1,14,10,9,0,3,2,4,3,0
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,BP2,2,1,2,0,1,0,0,1,0
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,GP1,17,11,11,2,4,3,0,1,0
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,GP2,18,14,10,2,3,2,2,1,0
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,Deuce1,14,7,11,2,0,3,0,3,0
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,Deuce2,6,6,4,0,0,0,0,0,0
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,STotal1,45,28,31,4,7,8,4,7,0
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,STotal2,26,21,16,2,4,2,2,2,0
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,BP1,0,0,0,0,0,0,0,0,0
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,BP2,7,4,5,1,2,0,1,3,0
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,GP1,17,15,13,5,3,3,2,2,0
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,GP2,19,12,10,5,3,2,1,2,3
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,Deuce1,4,4,3,0,2,0,1,0,0
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,Deuce2,8,6,5,2,1,2,1,0,1
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,STotal1,21,19,16,5,5,3,3,2,0
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,STotal2,34,22,20,8,6,4,3,5,4
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,BP1,11,7,9,0,1,2,1,1,0
