match_id,player,row,shots,pt_ending,winners,induced_forced,unforced,serve_return,shots_in_pts_won,shots_in_pts_lost
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,Y,6,1,1,0,0,1,4,2
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,L,2,0,0,0,0,0,2,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,M,4,1,1,0,0,0,3,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,V,14,10,6,2,2,0,10,4
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,Z,11,7,3,1,3,0,6,5
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,H,1,0,0,0,0,0,0,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,I,3,1,1,0,0,0,2,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,J,2,2,2,0,0,0,2,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,K,1,1,1,0,0,0,1,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,Total,209,28,13,8,7,37,136,73
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,Fside,104,17,8,6,3,16,69,35
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,Bside,105,11,5,2,4,21,67,38
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,Fgs,101,15,6,6,3,16,66,35
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,Bgs,97,8,2,2,4,20,60,37
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,Base,204,24,9,8,7,37,131,73
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,Net,5,4,4,0,0,0,5,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,Gs,191,23,8,8,7,36,122,69
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,Dr,2,0,0,0,0,0,2,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,Lo,4,1,1,0,0,1,3,1
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,Vo,2,2,2,0,0,0,2,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,Ov,1,0,0,0,0,0,1,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,Sw,2,2,2,0,0,0,2,0
