match_id,row,pts,pts_won,rally_winners,rally_forced,unforced
20140113-W-Australian_Open-R128-Venus_Williams-Ekaterina_Makarova,DeuceR1,23,11,6,2,7
20140113-W-Australian_Open-R128-Venus_Williams-Ekaterina_Makarova,DeuceR2,13,7,1,3,1
20140113-W-Australian_Open-R128-Venus_Williams-Ekaterina_Makarova,RTotal1,57,28,11,7,17
20140113-W-Australian_Open-R128-Venus_Williams-Ekaterina_Makarova,RTotal2,38,17,3,7,3
20130117-W-Australian_Open-R64-Victoria_Azarenka-Eleni_Daniilidou,BPO1,8,5,0,0,0
20130117-W-Australian_Open-R64-Victoria_Azarenka-Eleni_Daniilidou,BPO2,3,0,0,0,1
20130117-W-Australian_Open-R64-Victoria_Azarenka-Eleni_Daniilidou,GPF1,3,2,0,0,0
20130117-W-Australian_Open-R64-Victoria_Azarenka-Eleni_Daniilidou,GPF2,7,0,0,0,1
20130117-W-Australian_Open-R64-Victoria_Azarenka-Eleni_Daniilidou,DeuceR1,4,4,2,1,0
20130117-W-Australian_Open-R64-Victoria_Azarenka-Eleni_Daniilidou,DeuceR2,3,0,0,0,2
20130117-W-Australian_Open-R64-Victoria_Azarenka-Eleni_Daniilidou,RTotal1,15,11,2,1,0
20130117-W-Australian_Open-R64-Victoria_Azarenka-Eleni_Daniilidou,RTotal2,13,0,0,0,4
20130118-W-Australian_Open-R32-Victoria_Azarenka-Jamie_Hampton,BPO1,13,7,2,2,4
20130118-W-Australian_Open-R32-Victoria_Azarenka-Jamie_Hampton,BPO2,16,5,1,1,5
20130118-W-Australian_Open-R32-Victoria_Azarenka-Jamie_Hampton,GPF1,14,7,2,1,0
20130118-W-Australian_Open-R32-Victoria_Azarenka-Jamie_Hampton,GPF2,14,5,2,0,2
20130118-W-Australian_Open-R32-Victoria_Azarenka-Jamie_Hampton,DeuceR1,14,5,0,0,2
20130118-W-Australian_Open-R32-Victoria_Azarenka-Jamie_Hampton,DeuceR2,10,4,2,0,4
