match_id,player,row,returnable,shallow,deep,very_deep,unforced,err_net,err_deep,err_wide,err_wide_deep
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,fh,30,0,0,0,4,2,1,1,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,bh,22,0,0,0,2,0,0,1,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,gs,45,0,0,0,6,2,1,2,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,sl,7,0,0,0,0,0,0,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,D,29,0,0,0,5,2,1,1,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,A,23,0,0,0,1,0,0,1,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,4,19,0,0,0,5,2,1,2,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,5,18,0,0,0,0,0,0,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,6,15,0,0,0,1,0,0,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,4D,10,0,0,0,4,2,1,1,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,4A,9,0,0,0,1,0,0,1,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,5D,9,0,0,0,0,0,0,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,5A,9,0,0,0,0,0,0,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,6D,10,0,0,0,1,0,0,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,6A,5,0,0,0,0,0,0,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,Total,66,0,0,0,13,4,5,1,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,v1st,44,0,0,0,7,2,4,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,v2nd,22,0,0,0,6,2,1,1,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,fh,28,0,0,0,7,2,2,1,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,bh,38,0,0,0,6,2,3,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,gs,65,0,0,0,13,4,5,1,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,sl,1,0,0,0,0,0,0,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,D,34,0,0,0,6,3,1,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,A,32,0,0,0,7,1,4,1,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,4,23,0,0,0,5,2,3,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,5,12,0,0,0,2,0,1,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,6,30,0,0,0,6,2,1,1,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,4D,8,0,0,0,2,1,1,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,4A,15,0,0,0,3,1,2,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,5D,4,0,0,0,0,0,0,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,5A,8,0,0,0,2,0,1,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,6D,21,0,0,0,4,2,0,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,6A,9,0,0,0,2,0,1,1,0
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,Total,39,8,30,8,0,0,0,0,0
