match_id,player,row,net_pts,pts_won,net_winner,induced_forced,net_unforced,passed_at_net,passing_shot_induced_forced,total_shots
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,1,ApproachRallies,4,2,2,0,1,1,0,19
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,2,NetPoints,12,9,7,2,1,1,1,102
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,2,Approach,7,5,3,2,0,1,1,51
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,2,NetPointsRallies,12,9,7,2,1,1,1,102
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,2,ApproachRallies,7,5,3,2,0,1,1,51
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,1,NetPoints,19,12,7,4,1,2,4,108
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,1,Approach,12,7,4,2,1,1,3,63
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,1,NetPointsRallies,19,12,7,4,1,2,4,108
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,1,ApproachRallies,12,7,4,2,1,1,3,63
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,2,NetPoints,14,9,6,3,1,2,2,84
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,2,Approach,6,4,4,0,0,1,1,35
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,2,NetPointsRallies,14,9,6,3,1,2,2,84
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,2,ApproachRallies,6,4,4,0,0,1,1,35
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,1,NetPoints,11,8,7,1,2,1,0,56
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,1,Approach,1,1,1,0,0,0,0,3
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,1,NetPointsRallies,11,8,7,1,2,1,0,56
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,1,ApproachRallies,1,1,1,0,0,0,0,3
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,2,NetPoints,6,5,4,0,0,1,0,33
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,2,Approach,3,2,1,0,0,1,0,19
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,2,NetPointsRallies,6,5,4,0,0,1,0,33
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,2,ApproachRallies,3,2,1,0,0,1,0,19
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,1,NetPoints,26,20,9,2,2,2,1,161
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,1,Approach,25,19,8,2,2,2,1,149
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,1,NetPointsRallies,22,18,8,2,2,2,0,141
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,1,ApproachRallies,21,17,7,2,2,2,0,129
