match_id,row,deuce_wide,deuce_middle,deuce_t,ad_wide,ad_middle,ad_t,err_net,err_wide,err_deep,err_wide_deep,err_foot,err_unknown
20140120-M-Australian_Open-R16-Kei_Nishikori-Rafael_Nadal,1 Total,27,16,17,15,22,18,22,1,13,4,0,0
20140120-M-Australian_Open-R16-Kei_Nishikori-Rafael_Nadal,1 1,20,13,13,11,11,8,0,0,0,0,0,0
20140120-M-Australian_Open-R16-Kei_Nishikori-Rafael_Nadal,1 2,7,3,4,4,11,10,22,1,13,4,0,0
20140120-M-Australian_Open-R16-Kei_Nishikori-Rafael_Nadal,2 Total,13,16,36,8,34,17,15,8,10,3,0,0
20140120-M-Australian_Open-R16-Kei_Nishikori-Rafael_Nadal,2 1,10,7,33,5,18,15,0,0,0,0,0,0
20140120-M-Australian_Open-R16-Kei_Nishikori-Rafael_Nadal,2 2,3,9,3,3,16,2,15,8,10,3,0,0
20140126-M-Australian_Open-F-Stanislas_Wawrinka-Rafael_Nadal,1 Total,27,2,21,18,3,23,6,16,20,3,0,0
20140126-M-Australian_Open-F-Stanislas_Wawrinka-Rafael_Nadal,1 1,11,0,16,9,3,12,0,0,0,0,0,0
20140126-M-Australian_Open-F-Stanislas_Wawrinka-Rafael_Nadal,1 2,16,2,5,9,0,11,6,16,20,3,0,0
20140126-M-Australian_Open-F-Stanislas_Wawrinka-Rafael_Nadal,2 Total,14,15,28,15,24,12,13,2,9,2,0,0
20140126-M-Australian_Open-F-Stanislas_Wawrinka-Rafael_Nadal,2 1,13,8,20,14,20,10,0,0,0,0,0,0
20140126-M-Australian_Open-F-Stanislas_Wawrinka-Rafael_Nadal,2 2,1,7,8,1,4,2,13,2,9,2,0,0
20140113-M-Australian_Open-R128-Bernard_Tomic-Rafael_Nadal,1 Total,7,2,5,6,4,4,3,4,2,1,0,0
20140113-M-Australian_Open-R128-Bernard_Tomic-Rafael_Nadal,1 1,6,1,4,5,0,3,0,0,0,0,0,0
20140113-M-Australian_Open-R128-Bernard_Tomic-Rafael_Nadal,1 2,1,1,1,1,4,1,3,4,2,1,0,0
20140113-M-Australian_Open-R128-Bernard_Tomic-Rafael_Nadal,2 Total,3,5,6,4,5,3,6,2,2,1,0,0
20140113-M-Australian_Open-R128-Bernard_Tomic-Rafael_Nadal,2 1,3,1,5,4,1,2,0,0,0,0,0,0
20140113-M-Australian_Open-R128-Bernard_Tomic-Rafael_Nadal,2 2,0,4,1,0,4,1,6,2,2,1,0,0
20130810-M-Aptos_CH-SF-Bradley_Klahn-Evgeny_Donskoy,1 Total,12,15,22,27,16,3,15,6,15,0,0,2
20130810-M-Aptos_CH-SF-Bradley_Klahn-Evgeny_Donskoy,1 1,4,13,15,20,6,3,0,0,0,0,0,0
20130810-M-Aptos_CH-SF-Bradley_Klahn-Evgeny_Donskoy,1 2,8,2,7,7,10,0,15,6,15,0,0,2
