match_id,player,row,pts,pts_won,returnable,returnable_won,in_play,in_play_won,winners,total_shots
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,bh,42,15,37,15,35,15,1,261
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,gs,60,27,55,27,53,27,1,383
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,sl,1,0,1,0,1,0,0,7
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,D,33,14,29,14,27,14,0,181
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,A,30,13,27,13,27,13,1,211
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,4,5,2,4,2,4,2,0,19
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,5,54,25,50,25,48,25,1,353
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,6,4,0,2,0,2,0,0,20
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,4D,4,2,4,2,4,2,0,18
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,4A,1,0,0,0,0,0,0,1
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,5D,26,12,23,12,21,12,0,144
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,5A,28,13,27,13,27,13,1,209
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,6D,3,0,2,0,2,0,0,19
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,6A,1,0,0,0,0,0,0,1
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,Total,62,21,56,19,55,19,0,381
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,v1st,41,10,37,10,37,10,0,253
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,v2nd,19,9,19,9,18,9,0,126
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,7,13,6,13,6,13,6,0,87
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,89,42,13,42,13,42,13,0,287
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,9,15,6,15,6,15,6,0,123
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,fh,26,11,25,11,24,11,0,161
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,bh,34,8,31,8,31,8,0,218
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,gs,56,19,53,19,52,19,0,369
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,sl,4,0,3,0,3,0,0,10
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,D,31,12,28,12,27,12,0,187
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,A,29,7,28,7,28,7,0,192
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,4,13,4,12,4,12,4,0,97
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,5,41,14,39,14,38,14,0,259
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,6,6,1,5,1,5,1,0,23
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,4D,6,3,5,3,5,3,0,39
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,4A,7,1,7,1,7,1,0,58
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,5D,20,9,19,9,18,9,0,127
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,5A,21,5,20,5,20,5,0,132
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,6D,5,0,4,0,4,0,0,21
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,6A,1,1,1,1,1,1,0,2
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,1,Total,105,43,76,34,72,34,0,454
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,1,v1st,62,21,44,21,43,21,0,270
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,1,v2nd,34,13,32,13,29,13,0,175
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,1,fh,60,21,51,21,48,21,0,308
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,1,bh,25,13,23,13,22,13,0,122
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,1,gs,84,33,73,33,69,33,0,412
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,1,sl,1,1,1,1,1,1,0,18
