match_id,player,row,pts,pts_won,aces,unret,forced_err,pts_won_lte_3_shots,wide,body,t
20250523-M-Roland_Garros-Q3-Maximilian_Marterer-Federico_Arnaboldi,Maximilian Marterer,Total,64,44,3,0,9,19,19,26,19
20250523-M-Roland_Garros-Q3-Maximilian_Marterer-Federico_Arnaboldi,Maximilian Marterer,1,42,29,3,0,9,15,14,12,16
20250523-M-Roland_Garros-Q3-Maximilian_Marterer-Federico_Arnaboldi,Maximilian Marterer,2,22,15,0,0,0,4,5,14,3
20250523-M-Roland_Garros-Q3-Maximilian_Marterer-Federico_Arnaboldi,Federico Arnaboldi,Total,46,26,3,0,5,11,22,10,14
20250523-M-Roland_Garros-Q3-Maximilian_Marterer-Federico_Arnaboldi,Federico Arnaboldi,1,34,19,3,0,5,11,18,5,11
20250523-M-Roland_Garros-Q3-Maximilian_Marterer-Federico_Arnaboldi,Federico Arnaboldi,2,12,7,0,0,0,0,4,5,3
20250523-M-Geneva-SF-Hubert_Hurkacz-Sebastian_Ofner,Hubert Hurkacz,Total,55,42,6,0,15,28,23,6,26
20250523-M-Geneva-SF-Hubert_Hurkacz-Sebastian_Ofner,Hubert Hurkacz,1,37,28,5,0,15,21,17,1,19
20250523-M-Geneva-SF-Hubert_Hurkacz-Sebastian_Ofner,Hubert Hurkacz,2,18,14,1,0,0,7,6,5,7
20250523-M-Geneva-SF-Hubert_Hurkacz-Sebastian_Ofner,Sebastian Ofner,Total,53,34,2,0,16,26,25,8,20
20250523-M-Geneva-SF-Hubert_Hurkacz-Sebastian_Ofner,Sebastian Ofner,1,35,25,2,0,16,19,18,2,15
20250523-M-Geneva-SF-Hubert_Hurkacz-Sebastian_Ofner,Sebastian Ofner,2,18,9,0,0,0,7,7,6,5
20250522-M-Geneva-QF-Hubert_Hurkacz-Taylor_Fritz,Hubert Hurkacz,Total,71,52,9,0,11,36,23,6,42
20250522-M-Geneva-QF-Hubert_Hurkacz-Taylor_Fritz,Hubert Hurkacz,1,45,39,9,0,11,30,17,0,28
20250522-M-Geneva-QF-Hubert_Hurkacz-Taylor_Fritz,Hubert Hurkacz,2,26,13,0,0,0,6,6,6,14
20250522-M-Geneva-QF-Hubert_Hurkacz-Taylor_Fritz,Taylor Fritz,Total,69,48,10,0,11,35,36,5,28
20250522-M-Geneva-QF-Hubert_Hurkacz-Taylor_Fritz,Taylor Fritz,1,44,39,10,0,11,31,22,0,22
20250522-M-Geneva-QF-Hubert_Hurkacz-Taylor_Fritz,Taylor Fritz,2,25,9,0,0,0,4,14,5,6
20250521-M-Geneva-R16-Hubert_Hurkacz-Arthur_Rinderknech,Hubert Hurkacz,Total,50,39,10,0,10,28,25,4,21
20250521-M-Geneva-R16-Hubert_Hurkacz-Arthur_Rinderknech,Hubert Hurkacz,1,33,27,10,0,10,21,19,0,14
20250521-M-Geneva-R16-Hubert_Hurkacz-Arthur_Rinderknech,Hubert Hurkacz,2,17,12,0,0,0,7,6,4,7
20250521-M-Geneva-R16-Hubert_Hurkacz-Arthur_Rinderknech,Arthur Rinderknech,Total,47,27,3,0,8,19,21,4,22
