match_id,player,row,first_pts,first_pts_won,first_aces,first_unret,first_forced,first_won_lte_3_shots,second_pts,second_pts_won,second_aces,second_unret,second_forced,second_won_lte_3_shots
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,2,6,15,11,2,1,2,7,14,4,0,0,0,1
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,2,4d,24,18,3,1,6,12,9,4,1,0,1,2
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,2,4a,10,5,1,0,2,4,4,3,0,0,0,0
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,2,5d,6,3,0,0,0,2,7,3,0,0,0,0
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,2,5a,7,4,0,0,0,2,9,7,0,0,0,3
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,2,6d,4,3,2,0,0,3,4,1,0,0,0,0
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,2,6a,11,8,0,1,2,4,10,3,0,0,0,1
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,d,24,21,0,0,3,6,13,9,0,0,0,3
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,a,27,18,1,0,3,9,9,4,0,0,0,3
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,4,18,17,0,0,3,8,8,2,0,0,0,1
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,5,11,5,0,0,0,1,1,1,0,0,0,1
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,6,22,17,1,0,3,6,12,9,0,0,0,4
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,4d,9,9,0,0,2,4,1,0,0,0,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,4a,9,8,0,0,1,4,7,2,0,0,0,1
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,5d,4,1,0,0,0,0,0,0,0,0,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,5a,7,4,0,0,0,1,1,1,0,0,0,1
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,6d,11,11,0,0,1,2,11,8,0,0,0,3
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,1,6a,11,6,1,0,2,4,1,1,0,0,0,1
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,d,23,15,0,0,2,9,8,4,0,0,0,1
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,a,19,14,3,0,0,6,9,6,0,0,2,4
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,4,16,12,0,0,1,7,6,4,0,0,2,3
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,5,13,7,0,0,0,0,5,2,0,0,0,1
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,6,13,10,3,0,1,8,6,4,0,0,0,1
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,4d,11,7,0,0,1,5,0,0,0,0,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,4a,5,5,0,0,0,2,6,4,0,0,2,3
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,5d,7,4,0,0,0,0,2,0,0,0,0,0
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,5a,6,3,0,0,0,0,3,2,0,0,0,1
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,6d,5,4,0,0,1,4,6,4,0,0,0,1
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,6a,8,6,3,0,0,4,0,0,0,0,0,0
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,d,23,19,4,0,8,15,8,4,0,0,0,2
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,a,16,12,3,0,3,9,12,7,1,0,2,6
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,4,19,14,2,0,7,11,6,3,1,0,1,3
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,5,2,1,0,0,1,1,4,3,0,0,1,2
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,6,18,16,5,0,3,12,10,5,0,0,0,3
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,4d,16,12,2,0,6,10,0,0,0,0,0,0
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,4a,3,2,0,0,1,1,6,3,1,0,1,3
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,5d,1,1,0,0,1,1,1,0,0,0,0,0
